"date","count","min","max","mean","median","mode","standardDev"
"2018-01-01","762","200","3500000","149860","89000","35000","244193"
"2018-01-02","2412","25","7243000","118373","63060","89000","279637"
"2018-01-03","2464","1","3900000","115135","65000","35000","203584"
"2018-01-04","1866","25","8869807","116275","62016","20000","275039"
"2018-01-05","2226","1","20320000","136792","69700","35000","472414"
"2018-01-06","761","1","3500000","133030","60000","15000","301849"
"2018-01-07","805","26","5500000","137218","59000","35000","388676"
"2018-01-08","2865","1","5500000","119852","67355","65000","211596"
"2018-01-09","2267","60","4500000","113196","65000","65000","224115"
"2018-01-10","2001","0","2500000","131275","75000","45000","208949"
"2018-01-11","1643","22","4500000","130773","63000","55000","264358"
"2018-01-12","1938","1","12000000","179163","72000","35000","700652"
"2018-01-13","1041","1","15600000","152495","79000","165000","529824"
"2018-01-14","850","68","2000000","103453","60000","25000","159904"
"2018-01-15","2620","2","12000000","140025","74000","35000","317740"
"2018-01-16","1965","12","2790000","119710","64000","45000","221597"
"2018-01-17","1846","47","3600000","114137","67000","85000","174088"
"2018-01-18","1859","15","3600000","117221","64900","59000","195626"
"2018-01-19","1900","110","2500000","121274","73000","65000","173831"
"2018-01-20","595","40","3000000","133217","60000","15000","296550"
"2018-01-21","967","30","2890000","128184","64000","39000","199189"
"2018-01-22","2454","1","6670000","145022","74246","25000","338953"
"2018-01-23","2090","1","4900000","131529","74999","35000","244171"
"2018-01-24","1920","6","4000000","133240","71000","55000","265205"
"2018-01-25","1650","17","4100000","112103","60000","65000","206507"
"2018-01-26","1660","69","2300000","131178","71500","125000","206216"
"2018-01-27","642","26","2500000","131437","67400","70000","231431"
"2018-01-28","724","80","2400000","104589","60430","75000","196031"
"2018-01-29","2088","30","6670000","135544","74800","59000","290443"
"2018-01-30","2196","10","3500000","116920","62950","35000","208901"
"2018-01-31","2145","100","4370000","119331","60000","110000","249911"
"2018-02-01","1867","20","5700371","106700","56000","65000","244039"
"2018-02-02","1322","1","1999000","104358","55000","55000","168551"
"2018-02-03","1019","3","4000000","120573","68600","25000","201066"
"2018-02-04","885","8","1790000","115451","65000","65000","186112"
"2018-02-05","2189","2","3500000","122148","65131","45000","203554"
"2018-02-06","1913","100","4430000","115044","67000","75000","183060"
"2018-02-07","1866","70","4112000","120601","67000","65000","249326"
"2018-02-08","1606","10","4000000","120943","65000","25000","203961"
"2018-02-09","1450","24","4900000","119302","63000","35000","269357"
"2018-02-10","835","29","4372000","140387","70000","35000","284607"
"2018-02-11","874","10","3900000","106717","63200","65000","192751"
"2018-02-12","2209","40","3900000","138170","69000","35000","286919"
"2018-02-13","2007","1","2950000","136135","70000","35000","240384"
"2018-02-14","1469","45","12000000","151526","59900","65000","654955"
"2018-02-15","1806","100","3900000","132870","66946","35000","270438"
"2018-02-16","1023","1","3157000","131006","71000","35000","244244"
"2018-02-17","869","10","2600000","145930","65000","25000","283664"
"2018-02-18","640","65","1200000","88677","53500","10000","110140"
"2018-02-19","2685","11","12000000","141467","73000","35000","360514"
"2018-02-20","1867","3","3104190","110874","64700","125000","176381"
"2018-02-21","2115","11","4000000","115301","65000","65000","189189"
"2018-02-22","1713","35","4850000","113567","58000","50000","232353"
"2018-02-23","1225","10","4000000","101136","59220","45000","198845"
"2018-02-24","727","10","4250000","119960","70000","45000","200295"
"2018-02-25","711","47","6670000","128912","48000","75000","425588"
"2018-02-26","2650","25","6670000","125743","71260","75000","257819"
"2018-02-27","1915","30","4250000","126567","67000","35000","235548"
"2018-02-28","2525","1","4200000","107961","60000","35000","200426"
"2018-03-01","2073","45","3500000","105317","63000","65000","181315"
"2018-03-02","1589","25","3664000","117434","67000","55000","204311"
"2018-03-03","819","100","4000000","115530","57000","20000","245250"
"2018-03-04","999","35","997500","103997","65000","75000","127231"
"2018-03-05","2348","1","4900000","122180","67072","45000","222882"
"2018-03-06","2063","1","3037840","120090","63000","45000","215344"
"2018-03-07","1897","38","3050000","99458","60000","15000","145447"
"2018-03-08","1550","10","4430000","112816","67000","50000","228049"
"2018-03-09","1419","60","1900000","103189","62000","25000","143828"
"2018-03-10","879","1","4500000","133189","63900","80000","290532"
"2018-03-11","948","5","99999999","212981","58000","75000","3249848"
"2018-03-12","2432","1","4500000","119627","65950","35000","223995"
"2018-03-13","2129","7","11111111","109917","61700","35000","289401"
"2018-03-14","1708","4","6950000","129898","60650","45000","290016"
"2018-03-15","2055","40","6670000","126553","61500","65000","328113"
"2018-03-16","1679","250","4900000","117715","63900","35000","241862"
"2018-03-17","813","10","2000000","104107","61000","27000","147525"
"2018-03-18","800","3","1400000","81035","47000","25000","116903"
"2018-03-19","2786","18","3900000","121800","68000","35000","214980"
"2018-03-20","2206","40","12000000","114371","64500","45000","398789"
"2018-03-21","1821","10","6500000","101760","56000","65000","217320"
"2018-03-22","2084","30","6500000","122769","64500","75000","274781"
"2018-03-23","1820","35","12180000","131514","61000","45000","443692"
"2018-03-24","754","10","18450000","130710","53500","125000","698820"
"2018-03-25","790","700","2100000","100186","51000","60000","182103"
"2018-03-26","2290","2","12000000","124240","65000","55000","336490"
"2018-03-27","1929","50","5500000","134459","65000","15000","297405"
"2018-03-28","1955","10","220500000","263389","65000","45000","4992350"
"2018-03-29","1956","100","6670000","129627","65000","45000","334948"
"2018-03-30","886","40","6670000","161627","91497","115000","328557"
"2018-03-31","649","370","3500000","123515","55000","25000","277240"
"2018-04-01","395","2","3500000","131157","68900","15000","243641"
"2018-04-02","910","9","6670000","154438","67567","250000","357982"
"2018-04-03","1132","1","12000000","135073","63500","25000","409562"
"2018-04-04","1068","1","2500000","124968","62000","45000","211247"
"2018-04-05","738","190","20000000","141699","52000","25000","756034"
"2018-04-06","1013","200","3300000","140243","74000","65000","258942"
"2018-04-07","800","760","2500000","140519","70000","40000","236981"
"2018-04-08","465","230","6500000","139866","57000","15000","395014"
"2018-04-09","1489","1","6000000","183691","85000","35000","381979"
"2018-04-10","1059","120","3900000","122797","54000","35000","232689"
"2018-04-11","1106","320","4500000","139522","67695","35000","246547"
"2018-04-12","1130","12","6360000","128521","55000","35000","400589"
"2018-04-13","1282","1","10000000","162753","75000","35000","489581"
"2018-04-14","665","117","6500000","163900","81500","45000","339680"
"2018-04-15","491","13","2000000","109135","56800","20000","176888"
"2018-04-16","1144","180","6360000","143038","69450","25000","310888"
"2018-04-17","1098","123","3900000","125500","54950","35000","285477"
"2018-04-18","960","20","2900000","122979","59450","15000","209548"
"2018-04-19","838","5","6500000","129675","64950","12000","354928"
"2018-04-20","894","20","6250000","137624","65900","35000","416764"
"2018-04-21","708","100","12000000","170501","59927","35000","616847"
"2018-04-22","588","1","6250000","152695","60450","15000","421594"
"2018-04-23","1078","1","12000000","164332","64300","35000","515323"
"2018-04-24","952","25","9400000","146614","64350","13000","432014"
"2018-04-25","922","1","6250000","133212","57750","35000","309718"
"2018-04-26","896","100","26014500","156623","62150","25000","917384"
"2018-04-27","766","80","2000000","110488","56700","25000","185861"
"2018-04-28","657","46","1550000","126450","69000","27000","158243"
"2018-04-29","478","3","3150000","118603","49000","20000","252786"
"2018-04-30","772","600","2500000","164845","96250","35000","235983"
"2018-05-01","611","230","980000","93577","59000","60000","118145"
"2018-05-02","826","150","2217800","103894","47000","35000","172393"
"2018-05-03","989","700","5000000","127029","70000","39000","263425"
"2018-05-04","649","50","4200000","136627","72000","35000","277123"
"2018-05-05","478","1","1500000","102753","49000","199000","156651"
"2018-05-06","578","660","4000000","158914","57000","35000","349886"
"2018-05-07","1151","21","1800000","123827","66000","15000","163587"
"2018-05-08","1245","24","59999999","170282","57000","35000","1710673"
"2018-05-09","961","125","1800000","107856","57000","25000","163619"
"2018-05-10","1022","500","3900000","114858","65000","20000","220599"
"2018-05-11","779","100","3500000","141795","62000","35000","310716"
"2018-05-12","640","7","5000000","130525","64949","6000","280625"
"2018-05-13","488","60","1500000","119402","49750","33000","205551"
"2018-05-14","1064","100","6360000","144650","72000","25000","293037"
"2018-05-15","1084","200","6360000","137361","59275","25000","309060"
"2018-05-16","1011","1","6250000","113961","59000","45000","252822"
"2018-05-17","1251","1","9200000","151857","65000","65000","387533"
"2018-05-18","1011","550","15000000","149104","62000","15000","601938"
"2018-05-19","622","65","2500000","137256","73000","250000","218415"
"2018-05-20","564","1","3500000","126610","50000","15000","279193"
"2018-05-21","1080","900","6360000","153565","65000","35000","355646"
"2018-05-22","1231","500","3500000","146199","75000","35000","250670"
"2018-05-23","1055","18","4000000","124412","55000","25000","236014"
"2018-05-24","1023","1","4370000","138569","60000","20000","287002"
"2018-05-25","721","96","9000000","131550","70000","15000","385793"
"2018-05-26","579","699","3900000","159120","81900","15000","276328"
"2018-05-27","491","80","4352000","129822","54500","12000","276208"
"2018-05-28","1083","1","9000000","143794","59000","130000","408045"
"2018-05-29","850","10","2950000","112806","55000","55000","219207"
"2018-05-30","819","10","3450000","108081","57000","75000","195292"
"2018-05-31","953","96","7449500","116803","68000","45000","270284"
"2018-06-01","875","300","3500000","124993","66500","10000","253235"
"2018-06-02","463","128","2280905","109111","60000","55000","175199"
"2018-06-03","466","1","4000000","131107","57250","15000","312646"
"2018-06-04","1004","12","2700000","130075","78000","15000","179144"
"2018-06-05","1072","1","3000000","97240","54450","15000","178768"
"2018-06-06","1358","10","4000000","159701","80750","35000","263116"
"2018-06-07","1192","130","5500000","119642","61750","25000","270632"
"2018-06-08","858","1","3390000","117749","58950","8000","234737"
"2018-06-09","581","1","3000000","123444","65000","65000","208068"
"2018-06-10","385","51","2800000","120428","52590","55000","269540"
"2018-06-11","1041","7","2400000","137168","62000","20000","228499"
"2018-06-12","911","42","5600000","132311","60000","35000","287264"
"2018-06-13","984","1","3500000","119676","60000","35000","208395"
"2018-06-14","898","1","5624000","126227","62250","15000","281078"
"2018-06-15","766","18","3100000","101200","55000","32000","179607"
"2018-06-16","445","500","1200000","105800","60000","8000","140249"
"2018-06-17","337","10","5600000","122990","47900","12000","373858"
"2018-06-18","951","30","55269000","165458","56500","25000","1795484"
"2018-06-19","914","1","4700000","129028","58950","35000","271788"
"2018-06-20","750","85","2500000","126437","59000","25000","218720"
"2018-06-21","833","7","3900000","103826","59900","199000","177195"
"2018-06-22","613","6","2900000","119932","69000","35000","175945"
"2018-06-23","354","380","980000","120647","67500","15000","149250"
"2018-06-24","310","500","1300000","92919","45500","15000","149006"
"2018-06-25","1193","100","5600000","166595","85000","35000","291833"
"2018-06-26","869","1","2500000","118487","60000","20000","219112"
"2018-06-27","899","15","3500000","108964","56000","25000","211055"
"2018-06-28","777","650","2500000","117527","63400","45000","206151"
"2018-06-29","723","20","3500000","114115","65000","25000","206778"
"2018-06-30","924","200","9000000","192981","98000","35000","420631"
"2018-07-01","503","40","9000000","182736","54900","20000","626320"
"2018-07-02","925","20","5500000","125773","59000","45000","259199"
"2018-07-03","905","30","1540000","102764","50000","25000","159149"
"2018-07-04","869","419","4000000","116570","56490","18000","216678"
