"start","end","ss.lv","city24.lv","dada.lv","reklama.lv","elots.lv","zip.lv","santims.lv","cityreal.lv","takari.eu","other"
"2018-01-01","2018-01-07","0.52","0.23","0.05","0.06","0.04","0.04","0.00","0.01","0.01","0.04"
"2018-01-08","2018-01-14","0.45","0.29","0.06","0.07","0.04","0.05","0.00","0.00","0.00","0.04"
"2018-01-15","2018-01-21","0.43","0.29","0.06","0.07","0.05","0.05","0.00","0.00","0.00","0.05"
"2018-01-22","2018-01-28","0.44","0.28","0.05","0.07","0.06","0.04","0.00","0.01","0.01","0.04"
"2018-01-29","2018-02-04","0.43","0.30","0.05","0.07","0.05","0.04","0.00","0.01","0.01","0.04"
"2018-02-05","2018-02-11","0.36","0.21","0.04","0.06","0.04","0.03","0.20","0.01","0.01","0.04"
"2018-02-12","2018-02-18","0.46","0.25","0.07","0.07","0.05","0.04","0.02","0.01","0.01","0.02"
"2018-02-19","2018-02-25","0.44","0.23","0.05","0.05","0.06","0.04","0.06","0.01","0.01","0.05"
"2018-02-26","2018-03-04","0.48","0.25","0.05","0.06","0.05","0.03","0.03","0.01","0.01","0.03"
"2018-03-05","2018-03-11","0.49","0.23","0.05","0.05","0.05","0.04","0.03","0.01","0.01","0.04"
"2018-03-12","2018-03-18","0.48","0.25","0.06","0.05","0.05","0.03","0.03","0.01","0.01","0.03"
"2018-03-19","2018-03-25","0.51","0.23","0.04","0.05","0.06","0.03","0.03","0.00","0.00","0.05"
"2018-03-26","2018-04-01","0.46","0.28","0.06","0.05","0.04","0.04","0.03","0.00","0.00","0.04"
"2018-04-02","2018-04-08","0.47","0.24","0.07","0.05","0.06","0.03","0.03","0.01","0.01","0.03"
"2018-04-09","2018-04-15","0.45","0.29","0.04","0.04","0.05","0.03","0.02","0.00","0.00","0.08"
"2018-04-16","2018-04-22","0.51","0.25","0.05","0.05","0.04","0.04","0.02","0.00","0.00","0.04"
"2018-04-23","2018-04-29","0.49","0.23","0.06","0.06","0.05","0.03","0.03","0.00","0.00","0.05"
"2018-04-30","2018-05-06","0.50","0.21","0.06","0.05","0.07","0.04","0.03","0.01","0.00","0.03"
"2018-05-07","2018-05-13","0.52","0.24","0.06","0.04","0.04","0.03","0.03","0.00","0.00","0.04"
"2018-05-14","2018-05-20","0.52","0.25","0.05","0.05","0.06","0.03","0.01","0.00","0.00","0.03"
"2018-05-21","2018-05-27","0.51","0.28","0.05","0.05","0.04","0.03","0.00","0.00","0.00","0.04"
"2018-05-28","2018-06-03","0.54","0.27","0.00","0.06","0.05","0.03","0.00","0.00","0.00","0.05"
