"date","count","min","max","mean","median","mode","standardDev"
"2018-01-01","7","4","300","120","100","4","97"
"2018-01-02","11","1","600","175","100","100","160"
"2018-01-03","12","20","700","211","175","50","179"
"2018-01-04","11","5","400","169","130","100","118"
"2018-01-05","11","15","2000","283","120","50","546"
"2018-01-06","3","180","250","210","200","180","29"
"2018-01-07","8","35","7000","979","135","35","2276"
"2018-01-08","8","1","500","135","100","100","147"
"2018-01-09","12","2","12345","1134","111","180","3381"
"2018-01-10","21","100","500","206","190","180","89"
"2018-01-11","10","3","250","140","150","150","69"
"2018-01-12","8","70","500","231","225","250","124"
"2018-01-13","10","50","300","180","200","50","89"
"2018-01-14","5","3","180","102","100","3","61"
"2018-01-15","6","1","150","58","27","20","62"
"2018-01-16","16","15","15000","1628","180","180","3995"
"2018-01-17","9","10","300","144","100","100","89"
"2018-01-18","6","20","500","168","125","20","160"
"2018-01-19","4","12","500","240","225","12","174"
"2018-01-20","7","10","200","105","130","50","64"
"2018-01-21","8","2","400","177","190","70","122"
"2018-01-22","7","50","300","168","180","50","73"
"2018-01-23","7","80","500","221","150","80","144"
"2018-01-24","3","25","150","70","35","25","56"
"2018-01-25","9","30","500","186","200","200","124"
"2018-01-26","5","50","225","149","150","50","61"
"2018-01-27","9","2","300","128","130","2","90"
"2018-01-28","7","5","450","166","100","5","151"
"2018-01-29","9","50","700","265","200","200","193"
"2018-01-30","9","80","1456","309","170","150","408"
"2018-01-31","35","5","1000","198","180","180","161"
"2018-02-01","10","10","150","66","60","10","53"
"2018-02-02","9","4","1000","289","200","200","271"
"2018-02-03","10","2","40000","4279","175","150","11913"
"2018-02-04","6","100","300","196","190","100","64"
"2018-02-05","8","50","300","150","125","100","75"
"2018-02-06","7","40","1000","318","150","150","314"
"2018-02-07","13","20","500","179","150","100","124"
"2018-02-08","8","50","210","150","165","180","48"
"2018-02-09","8","20","250","117","105","100","62"
"2018-02-10","2","150","150","150","150","150","0"
"2018-02-11","10","20","1000","227","150","150","269"
"2018-02-12","17","2","250","117","120","250","90"
"2018-02-13","6","2","180","112","130","180","71"
"2018-02-14","6","7","2610","581","200","200","912"
"2018-02-15","5","35","300","137","100","35","99"
"2018-02-16","10","50","650","202","160","200","155"
"2018-02-17","9","30","700","161","100","50","198"
"2018-02-18","12","50","250","150","150","100","57"
"2018-02-19","11","25","1234","267","200","120","323"
"2018-02-20","9","60","1000","280","200","200","265"
"2018-02-21","7","100","1234","369","250","100","366"
"2018-02-22","6","10","1250","308","150","10","427"
"2018-02-23","5","140","280","190","180","140","49"
"2018-02-24","5","120","5000","1282","170","120","1888"
"2018-02-25","10","7","200","135","150","200","65"
"2018-02-26","10","20","15000","1666","175","150","4446"
"2018-02-27","7","30","250","161","200","100","78"
"2018-02-28","12","30","300","166","175","150","82"
"2018-03-01","3","200","300","266","300","300","47"
"2018-03-02","7","4","400","214","250","350","149"
"2018-03-03","7","130","350","240","200","130","78"
"2018-03-04","3","50","150","116","150","150","47"
"2018-03-05","10","50","800","274","200","150","208"
"2018-03-06","10","3","2000","367","190","120","555"
"2018-03-07","12","25","180","133","150","180","50"
"2018-03-08","5","50","1500","372","100","50","565"
"2018-03-09","11","80","2000","400","180","150","561"
"2018-03-10","12","40","1234","304","225","75","323"
"2018-03-11","9","70","1700","332","180","100","488"
"2018-03-12","9","50","250","126","100","50","65"
"2018-03-13","9","40","2000","398","180","40","580"
"2018-03-14","10","50","8000","945","175","50","2354"
"2018-03-15","7","40","350","158","140","40","93"
"2018-03-16","4","35","550","201","110","35","203"
"2018-03-17","15","5","2000","268","150","5","482"
"2018-03-18","11","30","30000","3942","190","190","8910"
"2018-03-19","7","100","12000","3262","180","180","4922"
"2018-03-20","10","50","12000","1571","210","200","3496"
"2018-03-21","11","50","611","226","165","50","179"
"2018-03-22","5","4","200","148","190","200","74"
"2018-03-23","6","35","1300","397","275","35","430"
"2018-03-24","9","50","6000","773","120","50","1848"
"2018-03-25","8","20","15000","2300","115","100","4844"
"2018-03-26","10","1","1300","366","120","1","492"
"2018-03-27","11","1","1000","324","200","100","344"
"2018-03-28","4","34","200","133","150","150","60"
"2018-03-29","7","50","500","210","200","200","132"
"2018-03-30","7","10","220","152","180","180","67"
"2018-03-31","6","90","500","238","190","90","148"
"2018-04-01","7","15","250","107","100","150","76"
"2018-04-02","17","20","300","133","100","100","87"
