"Start Date","End Date","Rīga","Āgenskalns","Atgāzene","Avoti","Beberbeķi","Berģi","Bieriņi","Bišumuiža","Bolderāja","Brasa","Brekši","Bukulti","Buļļi","Centrs","Čiekurkalns","Daugavgrīva","Dreiliņi","Dzirciems","Dārzciems","Dārziņi","Grīziņkalns","Imanta","Iļģuciems","Jaunciems","Jugla","Katlakalns","Kleisti","Kundziņsala","Ķengarags","Ķīpsala","Mangaļsala","Maskavas forstate","Mežaparks","Mežciems","Mīlgrāvis","Mūkupurvs","Pleskodāle","Purvciems","Pētersala-Andrejsala","Pļavnieki","Rumbula","Salas","Sarkandaugava","Skanste","Šķirotava","Spilve","Suži","Šampēteris","Teika","Torņakalns","Trīsciems","Vecdaugava","Vecmilgrāvis","Vecpilsēta","Vecāķi","Voleri","Zasulauks","Ziepniekkalns","Zolitūde"
"2018-01-01","2018-01-31","889.33","703.81","371.51","926.19","822.50","1150.00","963.57","747.07","335.79","869.14","1172.86","1785.71","1103.90","977.20","625.21","130.98","764.78","543.24","990.74","709.40","1083.79","1038.46","225.00","725.39","1171.88","1130.00","960.00","0.00","861.38","1548.06","197.78","585.01","1928.10","1276.66","1429.64","1386.86","900.00","1216.81","633.84","673.47","0.00","0.00","406.18","0.00","1010.80","0.00","740.00","1438.46","941.56","462.55","430.00","1071.58","707.07","1454.14","886.52","0.00","1166.67","725.81","1049.34"
"2018-02-01","2018-02-28","910.02","735.00","355.47","885.22","1266.53","828.63","993.21","1093.75","324.00","268.68","857.99","731.00","0.00","750.00","625.21","137.40","1480.75","151.11","989.66","739.13","1211.17","1300.24","529.01","909.72","877.18","432.80","508.33","567.14","537.88","1953.85","0.00","418.33","2181.82","2263.16","1305.37","1050.29","1100.00","1167.83","1029.41","702.86","0.00","0.00","300.00","0.00","832.40","0.00","734.22","1028.57","1136.36","245.10","903.19","1016.65","275.66","1454.14","1451.75","0.00","1051.14","808.08","0.00"
"2018-03-01","2018-03-31","895.21","669.73","0.00","677.33","901.29","1100.32","948.72","409.84","333.33","897.82","945.95","867.15","1103.90","960.29","625.21","166.69","0.00","1166.67","858.04","703.12","1079.58","1051.88","0.00","840.00","728.03","1250.00","500.00","691.82","513.60","1953.85","0.00","565.36","1903.45","1705.13","1030.04","0.00","916.03","1167.83","596.25","856.73","0.00","0.00","441.94","0.00","1017.50","0.00","734.22","1117.65","1183.90","550.00","713.39","1292.59","702.02","1177.40","1268.66","319.15","1041.67","764.11","893.78"
"2018-04-01","2018-04-30","909.84","686.72","349.62","657.16","1062.50","755.78","933.33","286.82","486.81","1020.41","940.54","1093.62","0.00","1181.83","620.30","252.06","1208.53","428.48","1083.61","734.15","895.00","937.50","617.83","1133.33","716.33","0.00","500.00","950.24","808.44","1176.92","0.00","483.58","1796.45","1150.00","1327.43","1094.89","996.81","1150.78","442.31","675.44","0.00","0.00","299.72","0.00","599.23","0.00","721.87","1438.46","1221.20","927.84","694.44","946.50","561.64","1430.72","1301.00","0.00","1041.67","874.55","853.70"
"2018-05-01","2018-05-31","900.98","764.56","335.47","645.04","901.29","719.44","898.78","622.97","680.14","802.76","936.97","674.98","1314.62","1287.13","1215.57","165.64","1361.43","862.30","1022.50","676.00","898.72","1005.36","1044.30","615.76","825.86","0.00","330.83","1333.33","875.00","1953.85","181.82","610.00","1845.05","1304.17","1527.27","979.74","1106.19","1167.83","596.25","1050.45","0.00","0.00","501.49","0.00","832.40","0.00","942.33","809.64","918.15","606.30","872.90","980.00","577.00","900.67","1373.06","0.00","777.78","744.44","712.78"
"2018-06-01","2018-06-30","858.37","666.53","0.00","614.58","1368.42","1149.85","762.94","336.36","329.17","802.76","899.26","607.28","0.00","1162.35","796.67","400.00","999.44","351.95","1073.26","750.00","511.31","886.70","538.20","828.40","1171.88","432.80","497.25","538.57","616.79","0.00","0.00","586.08","1707.83","1389.74","1058.82","920.38","1148.25","1167.83","596.25","993.17","562.70","0.00","309.44","0.00","1045.00","0.00","1121.50","1103.47","947.67","414.66","964.18","1037.47","687.50","1765.30","858.37","0.00","1558.81","673.47","1041.67"
"2018-07-01","2018-07-31","886.70","662.60","1024.10","625.00","901.29","683.06","996.30","335.00","821.43","771.43","760.63","607.28","0.00","1021.11","789.47","242.86","840.91","588.14","1054.05","712.94","730.77","969.20","0.00","792.20","956.79","0.00","796.44","0.00","873.56","1145.83","0.00","568.76","1652.02","980.39","644.01","609.99","1288.89","1106.99","0.00","466.32","34572.22","0.00","342.86","0.00","832.40","0.00","661.90","1037.46","1169.49","801.22","551.43","1033.33","712.33","1437.90","1269.04","361.70","0.00","756.00","975.94"
"2018-08-01","2018-08-31","905.05","786.95","335.47","617.86","1135.14","904.23","948.72","651.56","318.27","572.46","902.13","742.69","1166.67","982.32","875.00","229.49","1011.81","113.00","1044.16","771.28","472.00","958.33","758.63","838.00","1036.29","0.00","460.38","578.51","906.25","5300.00","1515.15","586.58","1456.25","1389.74","1270.30","1036.50","1277.78","810.67","596.25","908.20","733.33","0.00","0.00","0.00","300.00","0.00","1337.39","1296.88","1300.06","554.92","655.36","941.92","517.26","1256.65","1121.21","0.00","0.00","756.00","1039.45"
"2018-09-01","2018-09-30","883.48","903.61","0.00","620.65","1333.33","1020.41","1021.99","578.95","488.65","787.09","857.99","625.50","1202.75","1190.12","852.35","227.77","961.25","416.70","1262.91","692.27","1337.15","879.81","886.90","828.40","766.67","0.00","796.66","858.70","1600.00","1131.94","166.67","466.67","1693.10","0.00","650.00","811.84","637.50","1106.99","1029.41","1045.00","886.67","0.00","476.98","0.00","832.40","0.00","754.11","1500.00","1042.65","619.79","792.66","756.01","1066.67","1588.08","1230.77","361.70","1245.28","875.00","1047.77"
"2018-10-01","2018-10-31","930.42","662.60","890.69","507.23","1000.00","1115.30","949.23","858.23","496.51","0.00","857.99","1058.11","0.00","1485.93","1681.59","698.02","1212.05","505.23","1000.00","667.11","630.22","1152.42","737.70","1000.00","825.86","0.00","1335.83","552.86","888.89","10.00","1107.41","330.30","1656.25","1437.29","1269.41","702.44","1209.68","1106.99","0.00","817.38","1108.89","0.00","304.88","0.00","641.37","0.00","967.35","1125.84","1009.39","273.23","902.33","546.32","587.49","962.00","850.00","0.00","1362.64","870.16","1189.45"
