"Start Date","End Date","Rīga","Āgenskalns","Atgāzene","Avoti","Beberbeķi","Berģi","Bieriņi","Bišumuiža","Bolderāja","Brasa","Brekši","Bukulti","Buļļi","Centrs","Čiekurkalns","Daugavgrīva","Dreiliņi","Dzirciems","Dārzciems","Dārziņi","Grīziņkalns","Imanta","Iļģuciems","Jaunciems","Jugla","Katlakalns","Kleisti","Kundziņsala","Ķengarags","Ķīpsala","Mangaļsala","Maskavas forstate","Mežaparks","Mežciems","Mīlgrāvis","Mūkupurvs","Pleskodāle","Purvciems","Pētersala-Andrejsala","Pļavnieki","Rumbula","Salas","Sarkandaugava","Skanste","Šķirotava","Spilve","Suži","Šampēteris","Teika","Torņakalns","Trīsciems","Vecdaugava","Vecmilgrāvis","Vecpilsēta","Vecāķi","Voleri","Zasulauks","Ziepniekkalns","Zolitūde"
"2018-01-01","2018-01-31","320","250","600","320","0","177.5","240","450","165","385","210","250","0","600","260","192.5","400","230","250","0","290","270","250","155","230","0","180","0","220","690","0","250","495","260","210","0","490","280","400","260","225","0","250","630","185","0","150","250","280","260","0","200","205","700","580","0","300","265","330"
"2018-02-01","2018-02-28","310","345","450","330","0","330","280","500","200","340","195","0","0","600","200","200","320","220","250","0","300","270","250","147.5","250","0","0","240","250","750","0","250","500","260","290","0","500","270","450","250","260","0","249","660","192.5","0","0","200","300","280","0","200","215","700","650","0","300","250","350"
"2018-03-01","2018-03-31","300","300","460.5","300","0","0","450","450","200","370","180","0","0","600","240","230","290","260","250","0","280","300","237.5","0","250","180","0","240","250","900","0","230","447.5","250","230","0","450","250","390","250","307.5","0","240","695","180","0","0","235","250","285","0","0","207.5","700","260","0","280","265","330"
"2018-04-01","2018-04-30","300","320","180","340","0","280","320","485","200","360","265","350","0","550","244","200","300","250","240","0","260","267.5","220","150","225","0","0","0","250","950","0","250","575","260","400","0","485","260","400","270","195","0","230","725","180","0","0","220","267.5","350","0","0","200","750","0","0","300","250","310"
"2018-05-01","2018-05-31","300","242.5","180","340","0","200","290","450","175","355","230","0","0","600","235","180","365","250","250","0","300","270","225","200","235","0","0","0","245","950","350","230","500","250","330","0","500","280","400","250","240","0","240","650","185","150","230","240","300","210","0","190","200","838","2","0","270","250","285"
"2018-06-01","2018-06-30","300","260","287.5","350","0","50","200","430","220","330","175","350","0","500","215","215","355","250","250","0","280","290","240","100","250","140","250","0","230","850","300","250","475","295","250","0","500","300","420","260","145","0","210","600","205","200","0","280","250","230","0","0","180","875","690","0","270","265","325"
"2018-07-01","2018-07-31","320","280","180","330","0","450","300","500","200","350","290","0","0","650","229","200","355","250","255","0","290","295","250","0","255","150","440","240","250","1200","230","250","500","280","240","0","500","290","450","260","230","0","250","650","201.5","0","200","325","290","255","0","120","200","650","180","0","320","300","300"
"2018-08-01","2018-08-31","330","330","600","350","0","250","200","370","165","350","275","0","0","650","255","189.5","375","300","270","250","300","300","230","200","260","0","470","240","240","1000","0","250","950","280","210","0","625","280","425","270","250","0","250","775","205","0","0","250","300","295","350","200","220","640","0","0","350","275","300"
"2018-09-01","2018-09-30","350","350","400","367.5","0","260","345","425","190","370","185","435","0","700","230","200","360","250","267.5","0","330","280","250","200","235","0","430","0","250","1000","220","270","395","300","255","0","585","280","500","250","250","0","244.5","725","220","0","0","270","300","350","0","210","195","700","300","0","350","300","335"
"2018-10-01","2018-10-31","330","400","400","370","0","200","350","402.5","190","350","190","0","0","630","230","200","415","300","260","250","280","280","250","0","270","0","440","0","240","950","250","252.5","497.5","280","220","0","600","280","425","260","230","0","220","700","210","0","200","285","300","235","0","0","200","650","425","0","350","270","300"
"2018-11-01","2018-11-30","350","320","700","400","0","0","430","310","225","350","190","250","0","650","295","160","430","300","260","0","330","290","220","0","270","190","235","0","240","900","170","260","350","265","272.5","0","650","270","480","255","240","0","255","650","200","0","170","290","300","250","0","210","200","590","0","0","290","250","350"
"2018-12-01","2018-12-31","300","295","240","300","0","250","260","500","150","350","180","0","0","600","280","235","290","280","270","0","272.5","272.5","252.5","0","250","130","0","0","240","1000","0","250","400","290","255","0","460","280","395","250","200","0","245","650","210","0","240","240","300","300","0","0","230","600","370","0","340","300","320"
"2019-01-01","2019-01-31","320","360","455.5","360","0","335","260","415","200","350","185","0","0","600","250","200","380","280","250","0","330","280","250","100","250","130","420","0","250","990","390","250","360","255","300","0","650","290","480","250","220","0","235","650","200","0","0","280","275","350","0","180","200","635","400","0","290","280","310"
"2019-02-01","2019-02-28","330","300","375","350","0","247.5","400","480","190","350","250","0","0","600","292.5","200","400","280","270","250","350","272.5","270","230","270","0","450","250","230","990","0","250","500","250","235","100","650","290","370","250","270","0","230","750","200","0","0","260","300","270","0","0","200","650","0","0","355","260","300"
"2019-03-01","2019-03-31","300","265","380","350","0","430","205","340","190","355","170","0","0","650","290","200","325","280","270","0","325","290","260","235","260","0","0","0","250","850","0","240","1250","280","300","0","650","300","400","250","280","0","260","740","220","0","0","260","300","270","0","0","215","650","0","0","300","280","300"
"2019-04-01","2019-04-30","319.5","320","603.5","350","0","0","200","375","200","350","315","0","0","650","240","210","500","250","270","0","345","300","237.5","0","270","0","347.5","0","250","950","190","272.5","850","250","260","0","550","270","550","270","240","0","250","750","250","0","180","250","330","252.5","0","250","200","600","700","0","350","275","295"
"2019-05-01","2019-05-31","320","275","500","330","0","275","430","400","200","400","165","890","0","570","305","190","320","295","290","0","320","335","268","185","250","190","485","0","250","990","0","255","920","330","280","0","600","300","440","280","195","0","225","750","230","0","0","275","350","270","0","0","180","700","650","0","325","285","345"
"2019-06-01","2019-06-30","320","265","445","350","0","450","270","335","200","380","350","0","0","550","300","250","385","260","270","0","320","320","250","0","280","0","0","0","250","875","200","270","700","255","220","0","650","300","450","250","260","1100","250","850","220","0","0","250","350","300","0","0","200","670","750","0","320","290","357.5"
"2019-07-01","2019-07-31","340","350","450","400","0","224.5","300","480","215","390","240","790","0","600","290","240","425","270","250","0","320","300","250","215","280","0","0","0","250","1200","0","260","1500","300","307.5","0","605","280","450","260","250","900","245","750","215","0","180","295","300","300","220","0","200","600","0","0","440","270","325"
"2019-08-01","2019-08-31","350","357.5","330","400","0","275","350","350","215","350","210","0","0","650","280","300","370","280","285","0","350","320","280","250","270","0","405","0","250","950","270","252.5","500","260","250","0","650","285","450","272.5","285","245","240","725","220","0","0","300","317.5","370","0","0","230","600","400","0","440","270","320"
"2019-09-01","2019-09-30","390","350","375","450","0","0","485","420","200","385","310","0","0","650","290","230","350","270","280","0","300","350","277.5","0","250","0","225","0","255","825","310","262.5","745","330","260","0","650","310","500","280","267.5","0","239.5","635","220","0","0","380","350","395","0","265","230","650","495","0","420","260","350"
"2019-10-01","2019-10-31","400","400","375","397.5","0","420","425","420","212.5","450","160","0","0","729","250","200","350","250","300","0","275","350","270","150","250","110","450","0","260","1025","0","286","760","300","300","0","580","320","450","280","240","725","250","650","220","0","130","500","350","325","0","270","250","700","0","0","370","300","350"
"2019-11-01","2019-11-30","400","350","382.5","400","0","200","260","480","180","480","225","0","0","700","275","200","425","280","270","0","332.5","300","260","0","270","110","550","0","250","1450","0","270","1125","325","280","0","550","300","525","260","220","440","210","660","220","0","0","350","350","550","0","250","230","750","600","0","357.5","320","350"
"2019-12-01","2019-12-31","385","320","491","360","0","0","335","420","210","420","170","0","0","610","270","225","450","310","270","0","320","325","280","0","300","0","405","250","255","1200","0","260","900","320","295","0","650","320","600","270","280","0","235","750","230","0","0","250","400","550","0","0","250","750","280","0","300","280","350"
"2020-01-01","2020-01-31","360","320","230","450","0","600","350","500","220","400","200","0","320","700","250","220","410","350","270","0","335","300","275","200","270","0","220","0","240","1500","0","280","585","300","245","0","650","300","750","270","260","0","250","900","191","0","0","225","330","350","0","180","220","850","0","0","440","280","350"
"2020-02-01","2020-02-29","405","330","476.5","420","0","0","250","440","210","450","190","0","0","750","280","200","400","450","290","0","320","335","295","190","280","160","250","250","260","1200","0","270","500","330","400","0","450","320","600","270","250","0","280","500","190","0","0","300","350","440","0","0","245","720","750","0","500","300","355"
"2020-03-01","2020-03-31","370","420","375","400","0","300","350","500","225","390","250","160","0","560","270","200","400","300","280","0","295","300","260","200","280","0","0","250","250","565","0","280","480","250","310","260","450","300","550","265","240","145","250","800","196","0","0","280","320","315","0","0","240","500","600","0","365","250","335"
"2020-04-01","2020-04-30","320","300","800","375","0","0","350","260","180","340","235","0","0","480","250","200","375","260","260","0","280","300","265","225","270","190","550","220","250","450","0","260","690","250","250","0","350","300","400","250","200","0","230","600","215","0","0","250","292.5","350","0","180","200","400","0","0","375","277.5","300"
"2020-05-01","2020-05-31","320","400","387.5","350","0","250","225","470","180","350","220","0","0","500","240","200","365","320","250","485","280","300","250","250","250","0","0","0","250","1200","0","250","690","250","250","130","350","275","350","240","200","1500","250","1025","155","0","0","220","285","233","400","0","200","550","500","0","400","280","330"
