"Start Date","End Date","Rīga","Āgenskalns","Atgāzene","Avoti","Beberbeķi","Berģi","Bieriņi","Bišumuiža","Bolderāja","Brasa","Brekši","Bukulti","Buļļi","Centrs","Čiekurkalns","Daugavgrīva","Dreiliņi","Dzirciems","Dārzciems","Dārziņi","Grīziņkalns","Imanta","Iļģuciems","Jaunciems","Jugla","Katlakalns","Kleisti","Kundziņsala","Ķengarags","Ķīpsala","Mangaļsala","Maskavas forstate","Mežaparks","Mežciems","Mīlgrāvis","Mūkupurvs","Pleskodāle","Purvciems","Pētersala-Andrejsala","Pļavnieki","Rumbula","Salas","Sarkandaugava","Skanste","Šķirotava","Spilve","Suži","Šampēteris","Teika","Torņakalns","Trīsciems","Vecdaugava","Vecmilgrāvis","Vecpilsēta","Vecāķi","Voleri","Zasulauks","Ziepniekkalns","Zolitūde"
"2018-01-01","2018-01-31","79000","170000","53500","450000","20000","177500","65000","64500","55000","355000","71000","40000","70000","355000","52000","54950","330000","212500","126520","26750","350000","74000","39000","35200","40000","140000","17000","28000","110000","585000","29000","55000","422500","66000","129000","135000","94500","65500","150000","80640","197000","1700000","74000","0","102500","2245000","0","103600","171500","91100","29000","45000","36000","170000","112000","0","6740","67500","65000"
"2018-02-01","2018-02-28","79000","215000","70000","180000","37295","92500","72500","89250","11500","295000","61500","45000","46000","275000","43000","10300","115000","60000","70000","28000","199000","85000","79500","30990","40000","1200000","29950","0","100000","310000","32000","85000","345500","354000","110000","16000","132000","265000","180000","125000","102500","0","180000","0","99180","0","0","120000","115000","58000","17775","60000","60000","250000","74650","2800","25000","108500","139000"
"2018-03-01","2018-03-31","75000","195000","30950","380000","17500","267500","67450","99500","33250","397450","45500","36000","45500","84250","247500","20000","84500","135000","70000","22750","300000","71500","25750","30000","44750","1200000","420500","132000","96500","310000","35600","92000","410000","82500","110000","123585.5","120000","52000","157500","85920","115000","250000","180000","0","116800","4370000","14990","74000","88800","58000","28350","65000","17800","61000","85000","3400","13280","67500","70000"
"2018-04-01","2018-04-30","65000","147000","69000","180000","24000","0","59000","33816","22999.5","500240","48850","44000","50000","77000","160000","20000","535000","60000","56500","19500","295000","38000","34500","27500","40000","0","178200","0","88000","315000","32000","109500","325000","235000","70000","175000","110000","159000","30000","129000","178500","3000000","180000","0","120000","360000","0","247500","165000","118700","23999","47000","47250","210000","84800","0","28142","70000","87000"
"2018-05-01","2018-05-31","67000","192500","80000","139000","22500","75000","70000","65500","26500","295000","18000","24500","46000","42000","169500","22000","180000","83500","122020","18750","300000","63000","38909","18500","40950","1200000","27750","33500","101950","395000","29650","99000","400000","90000","129000","25000","105000","109500","185000","104700","119570","400000","69000","340000","194800","4370000","0","84400","152700","115000","29000","51500","32500","1971000","129500","3000","10600","50000","65000"
"2018-06-01","2018-06-30","79475","169000","44000","280000","18350","0","67000","105750","55000","0","41500","31700","54000","225000","163000","44000","102500","195000","97020","20500","199000","58000","165000","23450","102000","0","810855","15000","77887.5","120000","31750","62500","350000","144700","129000","86500","150000","140000","180000","57500","115000","0","355000","340000","94000","360000","1000","141900","80000","130000","25000","38000","41250","3900000","118500","0","31284","70000","92000"
"2018-07-01","2018-07-31","75000","220000","57000","360000","22500","80000","69000","90000","28499.5","135000","29700","35000","46000","99000","69000","26000","135500","51500","159125","21500","205000","49800","32332","26300","45950","140000","29000","34000","79900","420000","44000","55450","399000","144700","32500","60500","99500","135000","165000","127350","115000","400000","55000","0","95000","269750","0","62750","103400","70000","22750","90645","30000","75450","131000","2950","70000","70000","79950"
"2018-08-01","2018-08-31","79900","117500","164000","320000","20000","63500","79000","82000","26500","397790","0","44000","55000","345000","216334.5","37500","80000","250000","155900","20000","229500","40150","23400","34000","86850","140000","0","0","91500","315000","29000","67500","395000","189000","32500","3500","110000","115000","185000","323000","93400","2999999","220000","340000","191500","0","69900","195000","88800","99000","25000","43000","80000","170000","85000","0","31284","56000","79900"
"2018-09-01","2018-09-30","77000","194000","25780","179500","20850","0","79000","272500","42000","449000","43200","46000","46000","385497.5","104500","5500","480275","55000","85000","25500","137500","65000","29000","35900","44650","140000","40000","34000","80000","290000","27800","62500","289500","157500","165000","117000","87503","158000","165000","322500","182500","400000","45000","340000","100000","0","39000","92000","88800","56500","23000","35250","14000","61000","145000","0","55000","65000","90000"
"2018-10-01","2018-10-31","87604","170000","90000","398000","16145","84750","70000","93595","55000","362500","48000","113035","54000","222000","310000","104000","62000","195000","124040","19000","99900","41650","17550","35450","308500","0","160380","0","92000","341000","17900","99000","350000","137230","98500","68000","115000","100000","1125000","103500","162500","65000","445000","0","98470.5","183500","0","195000","100000","118000","25000","43000","65000","94000","129000","0","28142","65000","88802"
"2018-11-01","2018-11-30","72750","42000","90000","369000","27999","45000","60000","180000","45000","400290","38400","0","47500","475000","270000","4750","243500","212500","47500","17500","189000","72500","5000","30000","234500","0","250000","34000","65000","367000","35000","60000","300000","165000","45000","58000","202500","199000","165000","114680","250000","400000","295150","0","295000","0","0","195000","137230","34999","37600","27000","62500","57000","87000","0","50642","75000","73500"
"2018-12-01","2018-12-31","69950","115000","57500","400000","10350","99500","89000","63845","46000","260000","0","44000","60000","222000","295000","18800","149750","157500","124040","17750","0","35000","13500","32950","75147","0","0","0","103500","297500","26700","62000","400000","114730","80025","69000","92250","79000","1800000","316750","167500","0","36400","0","90000","0","0","330000","120000","116500","24300","24900","10450","250000","160000","0","29999","66500","68302"
"2019-01-01","2019-01-31","80000","1144500","44490","267500","27450","46500","65000","63845","33000","280000","42500","38000","46000","99000","250000","70900","238000","230000","122010","18950","159950","73710","25000","28000","72000","0","0","34000","138000","250000","17460","56999.5","390000","134460","60000","84000","85000","168000","180000","440185","138000","400000","444150","340000","99500","48000","0","500000","80800","49000","32986","110160","65000","235000","300000","0","47500","61500","75500"
"2019-02-01","2019-02-28","72000","267100","67245","359000","38205","99500","74200","450000","42500","134000","40000","42000","52000","257500","212000","6300","139000","230000","129000","24500","0","90000","17750","30000","63976.5","0","0","0","120750","328500","35000","62000","210930","87500","80025","100000","103000","158000","135000","76750","150500","0","127500","0","21000","0","0","62000","182100","95000","24650","27300","22000","205000","113500","0","29999","77500","54650"
