"Start Date","End Date","Rīga","Āgenskalns","Atgāzene","Avoti","Beberbeķi","Berģi","Bieriņi","Bišumuiža","Bolderāja","Brasa","Brekši","Bukulti","Buļļi","Centrs","Čiekurkalns","Daugavgrīva","Dreiliņi","Dzirciems","Dārzciems","Dārziņi","Grīziņkalns","Imanta","Iļģuciems","Jaunciems","Jugla","Katlakalns","Kleisti","Kundziņsala","Ķengarags","Ķīpsala","Mangaļsala","Maskavas forstate","Mežaparks","Mežciems","Mīlgrāvis","Mūkupurvs","Pleskodāle","Purvciems","Pētersala-Andrejsala","Pļavnieki","Rumbula","Salas","Sarkandaugava","Skanste","Šķirotava","Spilve","Suži","Šampēteris","Teika","Torņakalns","Trīsciems","Vecdaugava","Vecmilgrāvis","Vecpilsēta","Vecāķi","Voleri","Zasulauks","Ziepniekkalns","Zolitūde"
"2018-01-01","2018-01-31","37.32","48.55","31.15","235.41","15.31","31.97","49.78","40.16","45.83","199.55","35.15","17.99","31.88","148.80","41.31","22.52","59.83","56.44","67.64","26.96","97.91","33.07","31.79","18.46","24.27","41.13","11.70","23.73","50.39","349.57","7.91","59.17","153.37","68.54","53.45","10.65","45.81","28.34","99.73","27.95","25.00","157.82","16.34","0.00","22.46","40.16","0.00","70.00","76.94","60.01","9.39","22.76","25.44","702.61","84.68","0.00","5.15","37.75","35.00"
"2018-02-01","2018-02-28","40.67","57.55","25.37","177.23","14.14","28.28","52.43","68.08","9.74","393.63","23.76","25.94","13.85","398.88","66.16","8.50","96.76","17.78","70.00","31.20","110.43","36.16","31.03","18.84","32.08","31.09","8.47","0.00","51.04","147.58","16.56","81.41","211.91","52.16","51.51","7.88","51.21","75.00","100.28","68.77","3.81","0.00","16.50","0.00","8.01","0.00","0.00","28.76","102.81","55.48","7.99","13.79","21.04","0.00","85.32","5.60","7.70","35.29","33.55"
"2018-03-01","2018-03-31","43.49","136.93","27.80","189.57","13.51","43.33","53.46","96.00","28.53","0.00","22.29","18.22","22.90","49.45","40.58","14.42","66.09","48.70","70.00","28.57","104.01","32.00","27.89","17.55","33.49","48.17","19.54","120.11","43.01","334.67","50.00","81.41","183.22","66.96","51.51","34.70","63.98","29.91","132.85","55.98","28.76","91.05","16.34","0.00","16.40","0.00","16.66","35.15","68.24","72.37","11.21","23.50","21.04","702.61","88.58","6.80","4.63","44.48","62.45"
"2018-04-01","2018-04-30","33.07","52.13","20.49","236.59","15.85","0.00","47.12","22.48","11.47","379.80","25.12","22.18","16.82","40.16","34.08","19.03","68.36","20.00","56.23","29.50","50.28","25.16","19.16","17.62","25.85","0.00","5.02","0.00","34.52","183.31","16.69","49.63","211.91","52.34","25.00","12.50","50.00","50.92","166.67","78.01","15.39","216.87","31.18","0.00","11.22","15.80","0.00","58.68","137.89","62.21","16.56","19.49","19.60","0.00","91.06","0.00","53.35","44.11","55.31"
"2018-05-01","2018-05-31","39.35","121.79","42.14","170.25","11.67","113.33","53.12","40.16","14.88","393.63","8.57","17.76","14.29","4.80","38.26","13.11","42.45","42.02","68.61","25.78","97.59","29.85","36.00","17.28","27.06","19.02","18.85","22.74","45.98","242.28","14.75","74.45","219.78","71.39","53.45","29.17","60.89","40.57","165.33","30.07","27.26","98.77","16.34","29.90","22.50","0.00","0.00","51.97","85.18","75.71","14.79","27.75","25.25","618.26","105.15","6.00","4.11","35.00","59.39"
"2018-06-01","2018-06-30","44.14","100.56","22.39","243.30","16.16","0.00","66.79","87.00","45.83","0.00","24.00","18.06","32.26","217.56","30.81","13.32","65.35","62.90","74.32","27.88","97.59","42.76","42.81","16.21","32.06","0.00","15.00","11.30","34.49","101.95","17.90","58.26","187.76","36.93","65.45","22.28","47.42","50.73","100.28","80.18","17.00","0.00","47.11","29.90","12.09","15.80","3.33","60.00","74.56","63.36","12.62","12.09","21.02","1203.33","88.58","0.00","99.00","40.00","60.89"
"2018-07-01","2018-07-31","38.21","143.58","68.64","172.77","15.85","67.03","58.33","36.90","15.69","244.16","17.00","18.06","13.85","58.24","37.23","12.20","56.96","24.08","68.61","22.10","81.97","32.00","27.03","17.62","24.98","48.89","19.33","23.08","45.83","189.13","20.00","62.41","165.55","48.08","19.87","20.60","47.42","50.92","100.01","45.49","22.00","95.04","10.79","0.00","20.00","37.94","0.00","34.80","125.79","54.12","18.76","19.49","25.25","33.19","87.27","5.90","70.00","41.92","60.89"
"2018-08-01","2018-08-31","40.37","115.14","86.77","134.56","15.63","52.96","69.00","82.00","12.10","379.80","0.00","25.36","22.50","387.64","36.67","15.83","57.71","62.90","64.71","28.03","150.17","36.77","23.06","12.80","26.96","0.00","0.00","0.00","47.67","205.75","13.83","62.43","215.84","64.99","19.87","47.90","51.21","47.01","165.33","48.94","36.48","216.87","44.90","29.90","23.02","0.00","0.00","38.91","76.88","63.25","13.55","19.49","21.86","85.09","88.58","0.00","99.00","35.00","60.89"
"2018-09-01","2018-09-30","39.91","94.99","30.05","127.61","16.53","0.00","59.70","33.88","40.83","257.96","23.88","25.36","13.68","445.68","61.25","10.11","60.84","58.25","76.89","21.94","61.36","27.45","17.68","16.72","27.97","0.00","29.85","23.08","31.54","249.60","17.50","54.11","166.94","39.93","71.62","25.95","39.74","51.55","100.01","45.30","27.13","75.80","10.51","29.90","10.53","0.00","8.69","50.75","63.05","63.25","13.22","12.09","37.43","45.00","74.93","0.00","13.10","44.39","63.98"
"2018-10-01","2018-10-31","37.81","100.00","49.24","150.27","15.31","47.78","57.08","43.06","9.52","379.80","23.76","25.37","20.78","126.58","30.81","9.66","43.23","50.84","64.29","27.53","84.11","31.34","21.28","13.02","27.37","0.00","4.52","0.00","76.98","203.09","7.91","54.33","193.38","43.70","29.93","25.80","47.42","30.03","230.91","48.16","21.70","68.64","33.38","0.00","22.00","15.80","0.00","47.42","76.58","57.57","15.15","12.09","18.16","44.63","82.74","0.00","38.85","42.87","36.00"
"2018-11-01","2018-11-30","42.24","40.54","59.00","154.99","14.77","37.50","55.00","47.41","54.88","249.90","24.00","0.00","19.56","601.86","33.63","10.95","49.20","65.99","51.40","20.66","76.45","49.80","13.32","16.80","40.24","0.00","0.00","23.08","53.19","205.75","17.45","66.77","171.43","20.42","27.46","34.70","47.42","68.97","103.76","67.89","58.53","98.77","41.39","0.00","10.50","0.00","0.00","47.42","72.05","36.92","23.11","18.00","21.51","45.33","81.95","0.00","84.50","37.50","78.32"
"2018-12-01","2018-12-31","37.67","127.27","69.06","208.33","16.63","43.34","62.73","41.61","46.44","229.80","0.00","22.64","14.12","222.94","59.30","10.68","56.17","45.69","67.14","29.38","0.00","40.23","21.28","15.03","30.50","0.00","0.00","0.00","25.46","246.78","15.00","90.71","92.82","63.17","54.56","22.06","42.44","30.03","280.94","49.49","64.71","0.00","8.41","0.00","15.40","0.00","0.00","50.76","76.58","76.14","12.50","14.82","20.58","1049.06","94.84","0.00","94.93","42.87","38.22"
"2019-01-01","2019-01-31","38.49","184.23","44.94","115.98","14.87","38.11","45.00","22.08","15.35","379.80","27.54","13.47","10.30","102.12","7.04","41.21","47.50","65.99","79.26","24.66","95.78","40.23","30.08","16.13","40.94","0.00","0.00","23.08","27.05","145.35","7.91","58.73","196.77","53.54","29.93","30.25","45.90","23.57","107.24","29.72","22.24","98.77","28.87","29.90","17.77","44.86","0.00","50.97","55.04","32.60","20.54","17.59","17.26","57.21","87.13","0.00","38.85","46.08","52.00"
